ModelName;InteractionSize;T;Algorithm;Time;Time;Configurations;Configurations;ModelIteration;NoResult;OutOfMemory;CorrectlyFoundLiteralsCount;CorrectlyFoundLiteralsCount;MissedLiteralsCount;MissedLiteralsCount
;;;;median;max;median;max;count;sum;sum;median;max;median;max
Automotive01;1;3;Inciident;2.567;3.513;139.5;176.0;10;0;0;297.0;325.0;0.0;0.0
Automotive01;1;3;Random;;;;;10;10;10;;;;
Automotive01;1;3;iident;;;;;10;10;10;;;;
Automotive01;2;1;Inciident;0.3645;0.435;13.5;17.0;10;3;0;296.0;298.0;21.0;111.0
Automotive01;2;1;Random;0.118;0.179;15.0;42.0;10;5;0;296.0;301.0;5.0;83.0
Automotive01;2;1;iident;0.382;0.408;13.5;17.0;10;3;0;296.0;298.0;21.0;111.0
Automotive01;2;2;Inciident;0.6505000000000001;2.189;23.5;114.0;10;0;0;315.0;413.0;0.0;0.0
Automotive01;2;2;Random;0.8725;1.011;216.0;216.0;10;0;0;315.0;413.0;0.0;0.0
Automotive01;2;2;iident;1.7825000000000002;3.457;24.0;125.0;10;0;0;315.0;413.0;0.0;0.0
Automotive01;2;3;Inciident;3.406;46.226;145.0;875.0;10;0;0;315.0;413.0;0.0;0.0
Automotive01;2;3;Random;;;;;10;10;10;;;;
Automotive01;2;3;iident;;;;;10;10;10;;;;
Automotive01;3;1;Inciident;0.366;0.494;12.0;17.0;10;7;0;297.0;298.0;3.0;18.0
Automotive01;3;1;Random;0.1105;0.143;15.5;42.0;10;6;0;295.5;301.0;6.5;85.0
Automotive01;3;1;iident;0.35450000000000004;0.438;12.0;17.0;10;7;0;297.0;298.0;3.0;18.0
Automotive01;3;2;Inciident;0.71;6.919;24.5;289.0;10;3;0;300.0;416.0;3.0;83.0
Automotive01;3;2;Random;0.674;1.004;72.5;216.0;10;5;0;348.0;416.0;3.0;118.0
Automotive01;3;2;iident;1.7745;7.615;23.5;247.0;10;3;0;329.0;416.0;5.0;83.0
Automotive01;3;3;Inciident;1.3795;364.078;38.0;1252.0;10;0;0;332.0;531.0;0.0;0.0
Automotive01;3;3;Random;;;;;10;10;10;;;;
Automotive01;3;3;iident;;;;;10;10;10;;;;
BankingSoftware;1;1;Inciident;0.083;0.102;10.0;12.0;100;0;0;21.0;40.0;0.0;0.0
BankingSoftware;1;1;Random;0.035;0.088;13.0;77.0;100;0;0;21.0;40.0;0.0;0.0
BankingSoftware;1;1;iident;0.085;0.115;10.0;12.0;100;0;0;21.0;40.0;0.0;0.0
BankingSoftware;1;2;Inciident;0.156;0.225;19.0;28.0;100;0;0;21.0;40.0;0.0;0.0
BankingSoftware;1;2;Random;0.1135;0.2;140.0;140.0;100;16;0;22.0;40.0;0.0;0.0
BankingSoftware;1;2;iident;0.2155;0.263;17.5;22.0;100;12;0;24.0;40.0;0.0;0.0
BankingSoftware;1;3;Inciident;0.1555;0.249;22.0;30.0;100;0;0;21.0;40.0;0.0;0.0
