ModelName;InteractionSize;T;Algorithm;Time;Time;Configurations;Configurations;ModelIteration;NoResult;OutOfMemory;CorrectlyFoundLiteralsCount;CorrectlyFoundLiteralsCount;MissedLiteralsCount;MissedLiteralsCount
;;;;median;max;median;max;count;sum;sum;median;max;median;max
FameDB;2;3;Inciident;0.06;0.104;12.0;18.0;100;0;0;12.0;16.0;0.0;0.0
FameDB;2;3;Random;0.063;0.094;95.0;95.0;100;9;0;12.0;16.0;0.0;0.0
FameDB;2;3;iident;0.097;0.138;9.0;15.0;100;4;0;12.0;16.0;0.0;0.0
FameDB;3;1;Inciident;0.028;0.035;6.0;8.0;100;70;0;7.0;14.0;2.0;11.0
FameDB;3;1;Random;0.017;0.038;8.0;43.0;100;78;0;10.0;14.0;2.0;11.0
FameDB;3;1;iident;0.028;0.035;6.0;8.0;100;70;0;7.0;14.0;2.0;11.0
FameDB;3;2;Inciident;0.056;0.08;11.0;14.0;100;25;0;13.0;16.0;0.0;6.0
FameDB;3;2;Random;0.034;0.057;25.0;73.0;100;46;0;13.0;16.0;0.0;6.0
FameDB;3;2;iident;0.065;0.079;9.0;11.0;100;27;0;13.0;16.0;0.0;4.0
FameDB;3;3;Inciident;0.07050000000000001;0.108;14.0;19.0;100;0;0;13.0;18.0;0.0;0.0
FameDB;3;3;Random;0.066;0.092;95.0;95.0;100;0;0;13.0;18.0;0.0;0.0
FameDB;3;3;iident;0.102;0.129;10.0;15.0;100;0;0;13.0;18.0;0.0;0.0
FeatureIDE;1;1;Inciident;0.033;0.039;7.0;8.0;100;0;0;3.0;5.0;0.0;0.0
FeatureIDE;1;1;Random;0.021;0.029;10.0;24.0;100;0;0;3.0;5.0;0.0;0.0
FeatureIDE;1;1;iident;0.033;0.039;7.0;8.0;100;0;0;3.0;5.0;0.0;0.0
FeatureIDE;1;2;Inciident;0.046;0.072;11.0;15.0;100;0;0;3.0;5.0;0.0;0.0
FeatureIDE;1;2;Random;0.034;0.056;22.5;76.0;100;20;0;3.0;5.0;0.0;0.0
FeatureIDE;1;2;iident;0.068;0.089;10.0;12.0;100;12;0;3.0;5.0;0.0;0.0
FeatureIDE;1;3;Inciident;0.047;0.069;14.0;17.0;100;0;0;3.0;5.0;0.0;0.0
FeatureIDE;1;3;Random;0.035;0.074;15.0;100.0;100;39;0;4.0;5.0;0.0;0.0
FeatureIDE;1;3;iident;0.103;0.132;11.0;14.0;100;28;0;3.5;5.0;0.0;0.0
FeatureIDE;2;1;Inciident;0.031;0.038;7.0;8.0;100;47;0;3.0;5.0;1.0;4.0
FeatureIDE;2;1;Random;0.019;0.03;8.0;24.0;100;59;0;3.0;5.0;1.0;3.0
FeatureIDE;2;1;iident;0.032;0.038;7.0;8.0;100;47;0;3.0;5.0;1.0;4.0
FeatureIDE;2;2;Inciident;0.048;0.069;11.0;16.0;100;0;0;4.0;7.0;0.0;0.0
FeatureIDE;2;2;Random;0.0335;0.05;18.5;76.0;100;0;0;4.0;7.0;0.0;0.0
FeatureIDE;2;2;iident;0.068;0.087;10.0;14.0;100;0;0;4.0;7.0;0.0;0.0
FeatureIDE;2;3;Inciident;0.055;0.088;13.0;22.0;100;0;0;4.0;7.0;0.0;0.0
FeatureIDE;2;3;Random;0.0515;0.083;58.0;100.0;100;13;0;5.0;7.0;0.0;0.0
FeatureIDE;2;3;iident;0.107;0.131;12.0;15.0;100;8;0;4.5;7.0;0.0;0.0
FeatureIDE;3;1;Inciident;0.03;0.038;6.0;8.0;100;61;0;2.0;5.0;2.0;6.0
FeatureIDE;3;1;Random;0.017;0.026;7.0;18.0;100;73;0;3.0;5.0;2.0;6.0
FeatureIDE;3;1;iident;0.029;0.038;6.0;8.0;100;61;0;2.0;5.0;2.0;6.0
FeatureIDE;3;2;Inciident;0.052;0.076;12.0;16.0;100;26;0;5.0;10.0;1.0;5.0
FeatureIDE;3;2;Random;0.032;0.049;18.0;76.0;100;44;0;5.0;8.0;1.0;7.0
FeatureIDE;3;2;iident;0.068;0.087;10.0;14.0;100;36;0;5.0;10.0;1.0;3.0
FeatureIDE;3;3;Inciident;0.064;0.092;15.0;23.0;100;0;0;6.0;11.0;0.0;0.0
FeatureIDE;3;3;Random;0.05;0.085;35.5;100.0;100;0;0;6.0;11.0;0.0;0.0
FeatureIDE;3;3;iident;0.109;0.135;13.0;17.0;100;0;0;6.0;11.0;0.0;0.0
FreeBSD-8_0_0;1;1;Inciident;0.3715;0.42;14.0;16.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;1;Random;0.118;0.161;19.5;35.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;1;iident;0.348;0.432;14.0;16.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;2;Inciident;1.0045;2.048;46.5;71.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;2;Random;0.6605000000000001;0.777;202.0;202.0;10;1;0;44.0;150.0;0.0;0.0
FreeBSD-8_0_0;1;2;iident;1.5345;2.111;49.0;59.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;3;Inciident;1.0935;2.312;49.5;75.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;3;Random;118.18549999999999;167.242;290.0;290.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;1;3;iident;169.6535;325.127;44.5;73.0;10;0;0;44.0;200.0;0.0;0.0
FreeBSD-8_0_0;2;1;Inciident;0.363;0.412;13.0;16.0;10;5;0;101.0;200.0;1.0;2.0
FreeBSD-8_0_0;2;1;Random;0.112;0.168;16.5;36.0;10;6;0;53.5;150.0;2.0;136.0
FreeBSD-8_0_0;2;1;iident;0.358;0.428;13.0;16.0;10;5;0;101.0;200.0;1.0;2.0
FreeBSD-8_0_0;2;2;Inciident;0.712;1.697;25.5;58.0;10;0;0;45.0;201.0;0.0;0.0
FreeBSD-8_0_0;2;2;Random;0.46399999999999997;0.754;45.5;202.0;10;0;0;45.0;201.0;0.0;0.0
FreeBSD-8_0_0;2;2;iident;1.17;1.968;26.0;53.0;10;0;0;45.0;201.0;0.0;0.0
FreeBSD-8_0_0;2;3;Inciident;1.5095;3.24;61.5;113.0;10;0;0;45.0;201.0;0.0;0.0
FreeBSD-8_0_0;2;3;Random;126.82849999999999;172.619;290.0;290.0;10;0;0;45.0;201.0;0.0;0.0
FreeBSD-8_0_0;2;3;iident;200.799;792.568;57.0;110.0;10;0;0;45.0;201.0;0.0;0.0
FreeBSD-8_0_0;3;1;Inciident;0.363;0.45;13.0;17.0;10;10;0;;;;
FreeBSD-8_0_0;3;1;Random;0.11699999999999999;0.149;17.5;36.0;10;10;0;;;;
FreeBSD-8_0_0;3;1;iident;0.3535;0.454;13.0;17.0;10;10;0;;;;
FreeBSD-8_0_0;3;2;Inciident;0.7270000000000001;1.113;27.0;46.0;10;4;0;46.5;150.0;1.5;3.0
FreeBSD-8_0_0;3;2;Random;0.477;0.727;42.5;202.0;10;8;0;149.5;151.0;1.0;1.0
FreeBSD-8_0_0;3;2;iident;1.3105000000000002;1.875;25.5;45.0;10;4;0;49.0;200.0;1.0;2.0
FreeBSD-8_0_0;3;3;Inciident;1.145;1.631;41.5;59.0;10;0;0;47.5;202.0;0.0;0.0
FreeBSD-8_0_0;3;3;Random;144.16750000000002;207.533;125.5;290.0;10;0;0;47.5;202.0;0.0;0.0
FreeBSD-8_0_0;3;3;iident;296.304;771.592;37.5;64.0;10;0;0;47.5;202.0;0.0;0.0
PPU;1;1;Inciident;0.041;0.054;8.0;9.0;100;0;0;24.0;30.0;0.0;0.0
PPU;1;1;Random;0.027;0.046;14.0;53.0;100;0;0;24.0;30.0;0.0;0.0
PPU;1;1;iident;0.042;0.053;8.0;9.0;100;0;0;24.0;30.0;0.0;0.0
PPU;1;2;Inciident;0.0615;0.109;12.0;16.0;100;0;0;24.0;30.0;0.0;0.0
PPU;1;2;Random;0.047;0.082;39.5;91.0;100;15;0;25.0;30.0;0.0;0.0
PPU;1;2;iident;0.0965;0.117;11.0;14.0;100;12;0;25.0;30.0;0.0;0.0
PPU;1;3;Inciident;0.0645;0.106;14.5;18.0;100;0;0;24.0;30.0;0.0;0.0
PPU;1;3;Random;0.048;0.127;25.5;123.0;100;37;0;26.0;30.0;0.0;0.0
PPU;1;3;iident;0.147;0.166;12.0;15.0;100;19;0;25.0;30.0;0.0;0.0
PPU;2;1;Inciident;0.039;0.048;7.0;9.0;100;55;0;24.0;29.0;1.0;10.0
PPU;2;1;Random;0.022;0.041;9.0;53.0;100;71;0;24.0;29.0;1.0;7.0
PPU;2;1;iident;0.039;0.052;7.0;9.0;100;55;0;24.0;29.0;1.0;10.0
PPU;2;2;Inciident;0.0715;0.109;11.0;17.0;100;0;0;26.0;37.0;0.0;0.0
PPU;2;2;Random;0.056;0.085;91.0;91.0;100;0;0;26.0;37.0;0.0;0.0
PPU;2;2;iident;0.099;0.112;11.0;13.0;100;0;0;26.0;37.0;0.0;0.0
PPU;2;3;Inciident;0.082;0.15;15.0;23.0;100;0;0;26.0;37.0;0.0;0.0
PPU;2;3;Random;0.08;0.144;123.0;123.0;100;6;0;27.0;37.0;0.0;0.0
PPU;2;3;iident;0.151;0.19;13.0;19.0;100;1;0;26.0;37.0;0.0;0.0
PPU;3;1;Inciident;0.039;0.05;7.0;8.0;100;74;0;24.0;30.0;4.0;15.0
PPU;3;1;Random;0.02;0.03;8.0;27.0;100;82;0;23.5;29.0;3.5;11.0
PPU;3;1;iident;0.039;0.053;7.0;8.0;100;74;0;24.0;30.0;4.0;15.0
PPU;3;2;Inciident;0.0745;0.114;13.0;18.0;100;35;0;28.0;35.0;1.0;15.0
PPU;3;2;Random;0.037;0.073;21.5;91.0;100;64;0;27.0;35.0;0.0;12.0
PPU;3;2;iident;0.096;0.114;10.0;15.0;100;41;0;28.0;35.0;1.0;10.0
PPU;3;3;Inciident;0.1045;0.177;17.0;26.0;100;0;0;29.0;38.0;0.0;0.0
PPU;3;3;Random;0.0845;0.128;123.0;123.0;100;0;0;29.0;38.0;0.0;0.0
PPU;3;3;iident;0.158;0.193;14.0;22.0;100;0;0;29.0;38.0;0.0;0.0
SafeBali;1;1;Inciident;0.031;0.038;6.0;8.0;100;0;0;13.0;22.0;0.0;0.0
SafeBali;1;1;Random;0.032;0.04;43.0;43.0;100;0;0;13.0;22.0;0.0;0.0
SafeBali;1;1;iident;0.03;0.036;6.0;8.0;100;0;0;13.0;22.0;0.0;0.0
SafeBali;1;2;Inciident;0.048;0.08;10.0;12.0;100;0;0;13.0;22.0;0.0;0.0
SafeBali;1;2;Random;0.047;0.075;71.0;71.0;100;14;0;13.0;22.0;0.0;0.0
SafeBali;1;2;iident;0.063;0.088;8.0;10.0;100;9;0;13.0;22.0;0.0;0.0
SafeBali;1;3;Inciident;0.052;0.087;12.0;15.0;100;0;0;13.0;22.0;0.0;0.0
SafeBali;1;3;Random;0.056;0.126;92.0;92.0;100;17;0;13.0;22.0;0.0;0.0
SafeBali;1;3;iident;0.0915;0.141;8.0;10.0;100;11;0;13.0;22.0;0.0;0.0
SafeBali;2;1;Inciident;0.03;0.036;6.0;7.0;100;18;0;21.0;22.0;0.0;4.0
SafeBali;2;1;Random;0.026000000000000002;0.039;25.0;43.0;100;37;0;21.0;22.0;0.0;12.0
SafeBali;2;1;iident;0.03;0.037;6.0;7.0;100;18;0;21.0;22.0;0.0;4.0
SafeBali;2;2;Inciident;0.054;0.081;9.0;12.0;100;0;0;21.0;23.0;0.0;0.0
SafeBali;2;2;Random;0.052;0.081;71.0;71.0;100;0;0;21.0;23.0;0.0;0.0
SafeBali;2;2;iident;0.0655;0.09;8.0;10.0;100;0;0;21.0;23.0;0.0;0.0
SafeBali;2;3;Inciident;0.064;0.093;12.0;16.0;100;0;0;21.0;23.0;0.0;0.0
SafeBali;2;3;Random;0.072;0.127;92.0;92.0;100;6;0;21.0;23.0;0.0;0.0
SafeBali;2;3;iident;0.0975;0.135;8.0;11.0;100;1;0;21.0;23.0;0.0;0.0
SafeBali;3;1;Inciident;0.029;0.036;6.0;7.0;100;31;0;21.0;22.0;0.0;5.0
SafeBali;3;1;Random;0.021;0.038;15.0;43.0;100;45;0;21.0;22.0;0.0;12.0
SafeBali;3;1;iident;0.029;0.037;6.0;7.0;100;31;0;21.0;22.0;0.0;5.0
SafeBali;3;2;Inciident;0.0575;0.086;10.0;13.0;100;4;0;21.0;23.0;0.0;3.0
SafeBali;3;2;Random;0.0505;0.078;71.0;71.0;100;18;0;21.0;23.0;0.0;4.0
SafeBali;3;2;iident;0.067;0.089;8.0;10.0;100;9;0;21.0;23.0;0.0;4.0
SafeBali;3;3;Inciident;0.067;0.092;11.5;16.0;100;0;0;21.0;23.0;0.0;0.0
SafeBali;3;3;Random;0.0825;0.126;92.0;92.0;100;0;0;21.0;23.0;0.0;0.0
SafeBali;3;3;iident;0.099;0.131;8.0;12.0;100;0;0;21.0;23.0;0.0;0.0
SortingLine;1;1;Inciident;0.039;0.047;8.0;9.0;100;0;0;15.0;21.0;0.0;0.0
SortingLine;1;1;Random;0.025;0.042;11.0;51.0;100;0;0;15.0;21.0;0.0;0.0
SortingLine;1;1;iident;0.039;0.046;8.0;9.0;100;0;0;15.0;21.0;0.0;0.0
SortingLine;1;2;Inciident;0.054;0.105;12.0;17.0;100;0;0;15.0;21.0;0.0;0.0
SortingLine;1;2;Random;0.0365;0.064;23.0;87.0;100;16;0;15.0;21.0;0.0;0.0
SortingLine;1;2;iident;0.09;0.107;11.0;14.0;100;18;0;15.0;21.0;0.0;0.0
SortingLine;1;3;Inciident;0.054;0.106;15.0;19.0;100;0;0;15.0;21.0;0.0;0.0
SortingLine;1;3;Random;0.04;0.11;17.0;117.0;100;44;0;15.5;21.0;0.0;0.0
SortingLine;1;3;iident;0.126;0.151;13.0;15.0;100;29;0;15.0;21.0;0.0;0.0
SortingLine;2;1;Inciident;0.037;0.05;7.0;8.0;100;52;0;14.5;21.0;1.0;6.0
SortingLine;2;1;Random;0.021;0.037;9.0;51.0;100;62;0;14.5;21.0;1.0;5.0
SortingLine;2;1;iident;0.036;0.043;7.0;8.0;100;52;0;14.5;21.0;1.0;6.0
SortingLine;2;2;Inciident;0.0615;0.089;12.0;16.0;100;0;0;16.0;24.0;0.0;0.0
SortingLine;2;2;Random;0.041;0.067;27.0;87.0;100;0;0;16.0;24.0;0.0;0.0
SortingLine;2;2;iident;0.091;0.114;11.0;13.0;100;0;0;16.0;24.0;0.0;0.0
SortingLine;2;3;Inciident;0.0715;0.126;15.0;25.0;100;0;0;16.0;24.0;0.0;0.0
SortingLine;2;3;Random;0.066;0.106;71.0;117.0;100;10;0;17.0;24.0;0.0;0.0
SortingLine;2;3;iident;0.134;0.161;14.0;17.0;100;9;0;17.0;24.0;0.0;0.0
SortingLine;3;1;Inciident;0.035;0.046;6.0;8.0;100;75;0;14.0;21.0;3.0;8.0
SortingLine;3;1;Random;0.02;0.037;8.0;51.0;100;79;0;15.0;21.0;3.0;6.0
SortingLine;3;1;iident;0.036;0.049;6.0;8.0;100;75;0;14.0;21.0;3.0;8.0
SortingLine;3;2;Inciident;0.07;0.091;13.0;16.0;100;40;0;17.0;24.0;1.0;6.0
SortingLine;3;2;Random;0.036;0.063;20.0;87.0;100;54;0;18.0;22.0;1.0;5.0
SortingLine;3;2;iident;0.087;0.117;11.0;13.0;100;39;0;17.0;22.0;1.0;5.0
SortingLine;3;3;Inciident;0.0885;0.152;17.0;31.0;100;0;0;18.0;26.0;0.0;0.0
SortingLine;3;3;Random;0.07050000000000001;0.104;117.0;117.0;100;0;0;18.0;26.0;0.0;0.0
SortingLine;3;3;iident;0.138;0.163;14.0;18.0;100;0;0;18.0;26.0;0.0;0.0
TightVNC;1;1;Inciident;0.036;0.041;7.0;8.0;100;0;0;8.0;18.0;0.0;0.0
TightVNC;1;1;Random;0.023;0.038;9.0;49.0;100;0;0;8.0;18.0;0.0;0.0
TightVNC;1;1;iident;0.0365;0.044;7.0;8.0;100;0;0;8.0;18.0;0.0;0.0
TightVNC;1;2;Inciident;0.052;0.098;12.0;16.0;100;0;0;8.0;18.0;0.0;0.0
TightVNC;1;2;Random;0.0475;0.064;83.0;83.0;100;11;0;8.0;18.0;0.0;0.0
TightVNC;1;2;iident;0.0785;0.123;10.0;13.0;100;5;0;8.0;18.0;0.0;0.0
TightVNC;1;3;Inciident;0.053;0.11;14.0;18.0;100;0;0;8.0;18.0;0.0;0.0
TightVNC;1;3;Random;0.0455;0.12;26.5;111.0;100;33;0;9.0;18.0;0.0;0.0
TightVNC;1;3;iident;0.12;0.137;12.0;14.0;100;15;0;8.0;18.0;0.0;0.0
TightVNC;2;1;Inciident;0.035;0.041;7.0;8.0;100;47;0;7.0;18.0;1.0;4.0
TightVNC;2;1;Random;0.019;0.034;8.0;49.0;100;62;0;7.0;18.0;1.0;5.0
TightVNC;2;1;iident;0.035;0.042;7.0;8.0;100;47;0;7.0;18.0;1.0;4.0
TightVNC;2;2;Inciident;0.06;0.108;12.0;16.0;100;0;0;9.0;20.0;0.0;0.0
TightVNC;2;2;Random;0.038;0.065;22.5;83.0;100;0;0;9.0;20.0;0.0;0.0
TightVNC;2;2;iident;0.078;0.114;11.0;13.0;100;0;0;9.0;20.0;0.0;0.0
TightVNC;2;3;Inciident;0.07;0.12;14.0;25.0;100;0;0;9.0;20.0;0.0;0.0
TightVNC;2;3;Random;0.065;0.114;111.0;111.0;100;8;0;9.5;20.0;0.0;0.0
TightVNC;2;3;iident;0.124;0.156;13.0;17.0;100;2;0;9.0;20.0;0.0;0.0
TightVNC;3;1;Inciident;0.033;0.042;6.0;8.0;100;74;0;6.0;18.0;3.0;6.0
TightVNC;3;1;Random;0.019;0.034;7.0;49.0;100;81;0;7.0;18.0;2.0;6.0
TightVNC;3;1;iident;0.033;0.041;6.0;8.0;100;74;0;6.0;18.0;3.0;6.0
TightVNC;3;2;Inciident;0.0635;0.097;13.0;17.0;100;28;0;9.0;20.0;1.0;6.0
TightVNC;3;2;Random;0.034;0.066;20.0;83.0;100;51;0;10.0;20.0;0.0;3.0
TightVNC;3;2;iident;0.078;0.112;11.0;13.0;100;37;0;10.0;20.0;1.0;5.0
TightVNC;3;3;Inciident;0.078;0.131;17.0;25.0;100;0;0;10.0;20.0;0.0;0.0
TightVNC;3;3;Random;0.0595;0.101;60.0;111.0;100;0;0;10.0;20.0;0.0;0.0
TightVNC;3;3;iident;0.125;0.153;14.0;18.0;100;0;0;10.0;20.0;0.0;0.0
Violet;1;1;Inciident;0.07;0.111;10.0;20.0;100;0;0;12.0;16.0;0.0;0.0
Violet;1;1;Random;0.032;0.068;12.0;70.0;100;2;0;12.0;16.0;0.0;0.0
Violet;1;1;iident;0.072;0.103;10.0;20.0;100;0;0;12.0;16.0;0.0;0.0
Violet;1;2;Inciident;0.12;0.157;19.0;24.0;100;0;0;12.0;16.0;0.0;0.0
Violet;1;2;Random;0.096;0.131;126.0;126.0;100;10;0;12.0;16.0;0.0;0.0
Violet;1;2;iident;0.182;0.241;18.0;27.0;100;3;0;12.0;16.0;0.0;0.0
Violet;1;3;Inciident;0.123;0.188;21.0;27.0;100;0;0;12.0;16.0;0.0;0.0
Violet;1;3;Random;0.263;0.32;176.0;176.0;100;9;0;12.0;16.0;0.0;0.0
Violet;1;3;iident;0.42;0.49;19.0;24.0;100;5;0;12.0;16.0;0.0;0.0
Violet;2;1;Inciident;0.068;0.083;9.0;11.0;100;46;0;6.5;16.0;1.0;16.0
Violet;2;1;Random;0.029;0.051;10.0;48.0;100;57;0;12.0;16.0;1.0;11.0
Violet;2;1;iident;0.0685;0.09;9.0;11.0;100;46;0;6.5;16.0;1.0;16.0
Violet;2;2;Inciident;0.11699999999999999;0.183;17.0;24.0;100;0;0;15.0;26.0;0.0;0.0
Violet;2;2;Random;0.059;0.116;35.0;126.0;100;1;0;15.0;26.0;0.0;0.0
Violet;2;2;iident;0.168;0.222;16.0;27.0;100;0;0;15.0;26.0;0.0;0.0
Violet;2;3;Inciident;0.1465;0.324;23.0;41.0;100;0;0;15.0;26.0;0.0;0.0
Violet;2;3;Random;0.248;0.333;176.0;176.0;100;1;0;15.0;26.0;0.0;0.0
Violet;2;3;iident;0.419;0.514;23.0;34.0;100;0;0;15.0;26.0;0.0;0.0
Violet;3;1;Inciident;0.066;0.081;9.0;11.0;100;75;0;5.0;16.0;3.0;19.0
Violet;3;1;Random;0.029;0.042;10.0;23.0;100;75;0;12.0;16.0;4.0;15.0
Violet;3;1;iident;0.067;0.094;9.0;11.0;100;75;0;5.0;16.0;3.0;19.0
Violet;3;2;Inciident;0.123;0.18;18.0;27.0;100;32;0;15.0;26.0;1.0;16.0
Violet;3;2;Random;0.055;0.106;31.0;126.0;100;56;0;15.5;26.0;1.0;5.0
Violet;3;2;iident;0.1675;0.25;15.0;28.0;100;47;0;15.0;26.0;1.0;17.0
Violet;3;3;Inciident;0.1635;0.31;24.0;41.0;100;0;0;18.0;28.0;0.0;0.0
Violet;3;3;Random;0.228;0.302;85.0;176.0;100;0;0;18.0;28.0;0.0;0.0
Violet;3;3;iident;0.424;0.501;22.0;33.0;100;0;0;18.0;28.0;0.0;0.0
WaterlooGenerated;1;1;Inciident;0.1675;0.27;12.0;28.0;100;0;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;1;Random;0.061;0.158;14.0;95.0;100;4;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;1;iident;0.174;0.272;12.0;28.0;100;0;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;2;Inciident;0.3745;0.713;41.5;76.0;100;0;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;2;Random;0.2885;0.346;176.0;176.0;100;24;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;2;iident;0.5135000000000001;0.895;40.0;86.0;100;3;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;3;Inciident;0.381;0.696;44.0;80.0;100;0;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;3;Random;3.355;5.781;251.0;251.0;100;18;0;26.0;91.0;0.0;0.0
WaterlooGenerated;1;3;iident;10.8605;30.121;38.0;77.0;100;13;0;26.0;91.0;0.0;0.0
WaterlooGenerated;2;1;Inciident;0.166;0.205;11.0;21.0;100;53;0;26.0;91.0;1.0;46.0
WaterlooGenerated;2;1;Random;0.0555;0.096;13.0;43.0;100;61;0;26.0;91.0;1.0;67.0
WaterlooGenerated;2;1;iident;0.169;0.232;11.0;21.0;100;53;0;26.0;91.0;1.0;46.0
WaterlooGenerated;2;2;Inciident;0.289;0.768;23.0;78.0;100;0;0;28.0;92.0;0.0;0.0
WaterlooGenerated;2;2;Random;0.1945;0.335;32.5;176.0;100;0;0;28.0;92.0;0.0;0.0
WaterlooGenerated;2;2;iident;0.423;0.896;21.0;71.0;100;0;0;28.0;92.0;0.0;0.0
WaterlooGenerated;2;3;Inciident;0.4755;0.897;52.0;118.0;100;0;0;28.0;92.0;0.0;0.0
WaterlooGenerated;2;3;Random;3.818;10.707;251.0;251.0;100;11;0;29.0;92.0;0.0;0.0
WaterlooGenerated;2;3;iident;12.7025;32.489;48.0;115.0;100;1;0;28.0;92.0;0.0;0.0
WaterlooGenerated;3;1;Inciident;0.165;0.226;11.0;20.0;100;86;0;28.5;91.0;2.5;8.0
WaterlooGenerated;3;1;Random;0.056;0.11;13.5;94.0;100;82;0;26.0;86.0;2.5;54.0
WaterlooGenerated;3;1;iident;0.171;0.235;11.0;20.0;100;86;0;28.5;91.0;2.5;8.0
WaterlooGenerated;3;2;Inciident;0.313;0.657;25.0;75.0;100;42;0;30.0;92.0;1.0;12.0
WaterlooGenerated;3;2;Random;0.191;0.333;33.0;176.0;100;56;0;29.0;94.0;1.0;58.0
WaterlooGenerated;3;2;iident;0.425;0.758;22.0;75.0;100;45;0;30.0;92.0;1.0;4.0
WaterlooGenerated;3;3;Inciident;0.4445;1.524;37.0;158.0;100;0;0;32.0;95.0;0.0;0.0
WaterlooGenerated;3;3;Random;4.765499999999999;11.396;110.0;251.0;100;0;0;32.0;95.0;0.0;0.0
WaterlooGenerated;3;3;iident;16.352;36.686;33.0;190.0;100;0;0;32.0;95.0;0.0;0.0
XSEngine;1;1;Inciident;0.2485;0.325;12.5;19.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;1;1;Random;0.184;0.232;106.0;106.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;1;1;iident;0.252;0.344;12.5;19.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;1;2;Inciident;0.618;0.742;33.0;42.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;1;2;Random;0.521;0.587;199.0;199.0;10;3;0;114.0;215.0;0.0;0.0
XSEngine;1;2;iident;0.99;1.209;33.5;48.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;1;3;Inciident;0.6535;0.893;35.5;44.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;1;3;Random;49.1435;70.231;285.0;285.0;10;1;0;77.0;161.0;0.0;0.0
XSEngine;1;3;iident;120.4365;177.962;33.5;46.0;10;0;0;91.0;215.0;0.0;0.0
XSEngine;2;1;Inciident;0.238;0.277;11.5;14.0;10;5;0;54.0;123.0;26.0;67.0
XSEngine;2;1;Random;0.077;0.196;14.5;106.0;10;8;0;77.0;105.0;0.5;1.0
XSEngine;2;1;iident;0.249;0.275;11.5;14.0;10;5;0;54.0;123.0;26.0;67.0
XSEngine;2;2;Inciident;0.4395;0.786;20.0;36.0;10;0;0;132.0;226.0;0.0;0.0
XSEngine;2;2;Random;0.496;0.554;199.0;199.0;10;1;0;149.0;226.0;0.0;0.0
XSEngine;2;2;iident;0.772;1.264;21.5;48.0;10;0;0;132.0;226.0;0.0;0.0
XSEngine;2;3;Inciident;0.853;1.514;43.0;64.0;10;0;0;132.0;226.0;0.0;0.0
XSEngine;2;3;Random;50.482;90.152;285.0;285.0;10;0;0;132.0;226.0;0.0;0.0
XSEngine;2;3;iident;133.22750000000002;206.391;42.5;49.0;10;0;0;132.0;226.0;0.0;0.0
XSEngine;3;1;Inciident;0.241;0.286;12.5;15.0;10;8;0;49.0;49.0;18.5;35.0
XSEngine;3;1;Random;0.0685;0.091;13.5;21.0;10;10;0;;;;
XSEngine;3;1;iident;0.252;0.262;12.5;15.0;10;8;0;49.0;49.0;18.5;35.0
XSEngine;3;2;Inciident;0.4455;0.827;23.0;46.0;10;3;0;131.0;221.0;14.0;35.0
XSEngine;3;2;Random;0.404;0.472;55.5;199.0;10;8;0;155.5;180.0;13.0;26.0
XSEngine;3;2;iident;0.799;0.953;22.0;39.0;10;5;0;121.0;180.0;1.0;36.0
XSEngine;3;3;Inciident;0.7075;1.918;33.0;69.0;10;0;0;160.0;261.0;0.0;0.0
XSEngine;3;3;Random;67.2815;111.682;285.0;285.0;10;0;0;160.0;261.0;0.0;0.0
XSEngine;3;3;iident;182.2055;301.981;30.0;47.0;10;0;0;160.0;261.0;0.0;0.0
aaed2000;1;1;Inciident;0.2445;0.285;12.0;14.0;10;0;0;100.5;890.0;0.0;0.0
aaed2000;1;1;Random;0.134;0.204;66.5;106.0;10;0;0;100.5;890.0;0.0;0.0
aaed2000;1;1;iident;0.2495;0.311;12.0;14.0;10;0;0;100.5;890.0;0.0;0.0
aaed2000;1;2;Inciident;0.658;18.786;40.0;249.0;10;0;0;100.5;890.0;0.0;0.0
aaed2000;1;2;Random;0.532;1.53;199.0;199.0;10;2;0;100.5;890.0;0.0;0.0
aaed2000;1;2;iident;1.124;21.799;41.0;278.0;10;0;0;100.5;890.0;0.0;0.0
aaed2000;1;3;Inciident;0.665;37.691;41.5;251.0;10;0;0;100.5;890.0;0.0;0.0
